# [l(l+1)/2pi] C_l's for tensor mode (units: [microK]^2)
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   41       3.429402885997e-01       3.655442499332e-05       3.320712631485e-05      -1.636713310171e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   42       3.395175323760e-01       3.799625208172e-05       3.437502157127e-05      -1.697078321860e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   43       3.360034384632e-01       3.944662625330e-05       3.553821077526e-05      -1.756869019002e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   44       3.324020847033e-01       4.090444829503e-05       3.669483421115e-05      -1.815980867395e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   45       3.287175043232e-01       4.236810031423e-05       3.784354491536e-05      -1.874308745839e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   46       3.249537002105e-01       4.383594146519e-05       3.898304174452e-05      -1.931753445867e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   47       3.211146365658e-01       4.530691303294e-05       4.011149497401e-05      -1.988221409433e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   48       3.172042357343e-01       4.677926897029e-05       4.122781409347e-05      -2.043617988296e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   49       3.132263964615e-01       4.825162225697e-05       4.233062137609e-05      -2.097854233381e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   50       3.091849880783e-01       4.972276110723e-05       4.341846131034e-05      -2.150847960791e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   51       3.050838365361e-01       5.119117068884e-05       4.449027236282e-05      -2.202517492734e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   52       3.009267400966e-01       5.265571016877e-05       4.554470602041e-05      -2.252784983478e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   53       2.967174739930e-01       5.411495277460e-05       4.658079727295e-05      -2.301578658966e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   54       2.924597726604e-01       5.556775325157e-05       4.759739946177e-05      -2.348831510680e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   55       2.881573301115e-01       5.701311454318e-05       4.859329467640e-05      -2.394478361830e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   56       2.838138126917e-01       5.844947948505e-05       4.956789359829e-05      -2.438457128430e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   57       2.794328558346e-01       5.987591577861e-05       5.052007221348e-05      -2.480714067827e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   58       2.750180476837e-01       6.129147533212e-05       5.144879639049e-05      -2.521198556135e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   59       2.705729295207e-01       6.269468918338e-05       5.235360131158e-05      -2.559860217393e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   60       2.661010122805e-01       6.408467297580e-05       5.323350334854e-05      -2.596655808998e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   61       2.616057678187e-01       6.546038235358e-05       5.408774891242e-05      -2.631547499738e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   62       2.570906105749e-01       6.682056582343e-05       5.491584981265e-05      -2.664499645410e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   63       2.525589050945e-01       6.816445307045e-05       5.571688946226e-05      -2.695480941520e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   64       2.480139734945e-01       6.949086587576e-05       5.649040219881e-05      -2.724462891364e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   65       2.434590901455e-01       7.079861488370e-05       5.723599219558e-05      -2.751422128935e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   66       2.388974741723e-01       7.208706660449e-05       5.795277478227e-05      -2.776341472177e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   67       2.343322814348e-01       7.335510630472e-05       5.864038135002e-05      -2.799204346598e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   68       2.297666097092e-01       7.460153907900e-05       5.929856162312e-05      -2.819996759427e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   69       2.252035086538e-01       7.582570918955e-05       5.992659036929e-05      -2.838711718871e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   70       2.206459683275e-01       7.702660431219e-05       6.052414913524e-05      -2.855344837007e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   71       2.160969078728e-01       7.820311253867e-05       6.109106870242e-05      -2.869894027315e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   72       2.115591825657e-01       7.935461388283e-05       6.162675081132e-05      -2.882362380883e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   73       2.070355838993e-01       8.048019379775e-05       6.213093447442e-05      -2.892754590154e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   74       2.025288363528e-01       8.157872329632e-05       6.260362220835e-05      -2.901077437538e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   75       1.980416010556e-01       8.264958887710e-05       6.304438311568e-05      -2.907343768589e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   76       1.935764703603e-01       8.369210618219e-05       6.345292086617e-05      -2.911569205654e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   77       1.891359578726e-01       8.470522203283e-05       6.382935326461e-05      -2.913769368517e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   78       1.847224273473e-01       8.568830767627e-05       6.417345461091e-05      -2.913964705842e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   79       1.803384863224e-01       8.664064459765e-05       6.448515174223e-05      -2.912177328249e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   80       1.759861585427e-01       8.756149305294e-05       6.476446463581e-05      -2.908432471752e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   81       1.716678761913e-01       8.845023959033e-05       6.501136719744e-05      -2.902757590643e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   82       1.673856130730e-01       8.930630391297e-05       6.522587600041e-05      -2.895183096012e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   83       1.631416266284e-01       9.012902600972e-05       6.540815268557e-05      -2.885740072817e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   84       1.589377316778e-01       9.091778203534e-05       6.555839931023e-05      -2.874462344088e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   85       1.547760174262e-01       9.167213939648e-05       6.567671015981e-05      -2.861385992111e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   86       1.506581661256e-01       9.239170381710e-05       6.576321696424e-05      -2.846549589029e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   87       1.465860976911e-01       9.307593280120e-05       6.581825342106e-05      -2.829991449087e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   88       1.425613512765e-01       9.372431124822e-05       6.584220067845e-05      -2.811752141184e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   89       1.385856806233e-01       9.433655360632e-05       6.583529576415e-05      -2.791874713421e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   90       1.346604834181e-01       9.491242395270e-05       6.579779938794e-05      -2.770404345637e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   91       1.307873449006e-01       9.545153651528e-05       6.573016042921e-05      -2.747385297276e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   92       1.269675161091e-01       9.595352352208e-05       6.563287715836e-05      -2.722863496517e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   93       1.232024178803e-01       9.641819984069e-05       6.550633777451e-05      -2.696886758082e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   94       1.194931580999e-01       9.684543429527e-05       6.535094485814e-05      -2.669504664299e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   95       1.158409970180e-01       9.723502281586e-05       6.516721087514e-05      -2.640766220883e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   96       1.122468996829e-01       9.758677623657e-05       6.495569301031e-05      -2.610721611985e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   97       1.087119630006e-01       9.790057549217e-05       6.471692513376e-05      -2.579421480897e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   98       1.052370064671e-01       9.817635083636e-05       6.445145451126e-05      -2.546917806108e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   99       1.018229761585e-01       9.841407923311e-05       6.415983501821e-05      -2.513263024369e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  100       9.847055704189e-02       9.861376474793e-05       6.384265003478e-05      -2.478510475381e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  101       9.518053964785e-02       9.877538683102e-05       6.350053078457e-05      -2.442712590691e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  102       9.195346663676e-02       9.889895506479e-05       6.313413186831e-05      -2.405922487077e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  103       8.878997992681e-02       9.898455772893e-05       6.274408172121e-05      -2.368193671775e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  104       8.569048914477e-02       9.903232543473e-05       6.233102308490e-05      -2.329580365048e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  105       8.265549670099e-02       9.904239418484e-05       6.189562898414e-05      -2.290136238677e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  106       7.968528497961e-02       9.901492796533e-05       6.143859502613e-05      -2.249915275043e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  107       7.678021479139e-02       9.895012176404e-05       6.096062017952e-05      -2.208970789629e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  108       7.394043863258e-02       9.884820526609e-05       6.046241864715e-05      -2.167356304497e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  109       7.116618639627e-02       9.870943905954e-05       5.994471243038e-05      -2.125124888424e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  110       6.845749185825e-02       9.853411857920e-05       5.940823794808e-05      -2.082329684527e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  111       6.581445640488e-02       9.832257067395e-05       5.885373563600e-05      -2.039023028638e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  112       6.323699554248e-02       9.807515536328e-05       5.828195916489e-05      -1.995257147403e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  113       6.072508923952e-02       9.779225632813e-05       5.769367023621e-05      -1.951083545501e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  114       5.827854407584e-02       9.747428967807e-05       5.708964168897e-05      -1.906553466092e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  115       5.589723366589e-02       9.712170192496e-05       5.647064496787e-05      -1.861717114067e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  116       5.358085979751e-02       9.673497205769e-05       5.583746029439e-05      -1.816624314661e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  117       5.132914460332e-02       9.631460241670e-05       5.519087210762e-05      -1.771324143257e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
